1741478235436	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478235438	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478235439	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478235439	Sync.Collection	DEBUG	POST Length: 2499
1741478235668	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478235680	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478237797	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478242810	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478242811	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478242818	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478242820	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478242820	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478242820	Sync.Collection	DEBUG	POST Length: 2499
1741478243048	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478243059	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478250837	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478255849	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478255849	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478255856	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478255857	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478255857	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478255857	Sync.Collection	DEBUG	POST Length: 2499
1741478256083	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478256094	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478259626	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478264639	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478264639	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478264646	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478264647	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478264647	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478264647	Sync.Collection	DEBUG	POST Length: 2499
1741478264871	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478264882	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478271708	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478276721	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478276721	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478276727	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478276728	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478276728	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478276729	Sync.Collection	DEBUG	POST Length: 2499
1741478276952	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478276963	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478284868	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478289882	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478289882	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478289891	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478289893	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478289894	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1741478289894	FirefoxAccounts	DEBUG	getOAuthToken enter
1741478289894	FirefoxAccounts	TRACE	getCachedToken returning cached token
